Order_ID,Order_Date,Customer_ID,Customer_Name,State,City,Category,Sub_Category,Product,Unit_Price,Quantity,Discount,Sales,Profit
ORD00001,2025-01-07,CUST0100,Customer 152,Maharashtra,Mumbai,Technology,Printers,Printers Model 1,7000,7,0.1,44100.0,5408.18
ORD00002,2024-10-03,CUST0161,Customer 22,Rajasthan,Jaipur,Office Supplies,Storage,Storage Model 2,1500,2,0.05,2850.0,482.45
ORD00003,2025-07-16,CUST0055,Customer 244,Uttar Pradesh,Lucknow,Technology,Accessories,Accessories Model 3,1000,4,0.25,3000.0,108.67
ORD00004,2025-08-23,CUST0014,Customer 242,Gujarat,Vadodara,Office Supplies,Pens,Pens Model 1,50,7,0.0,350.0,75.57
ORD00005,2024-02-04,CUST0206,Customer 81,Delhi,New Delhi,Technology,Mobiles,Mobiles Model 4,35000,7,0.15,208250.0,26188.63
ORD00006,2025-04-21,CUST0191,Customer 218,Maharashtra,Nashik,Office Supplies,Binders,Binders Model 2,300,2,0.1,540.0,94.14
ORD00007,2024-12-03,CUST0053,Customer 280,Delhi,New Delhi,Furniture,Office Furniture,Office Furniture Model 2,20000,7,0.0,140000.0,17468.2
ORD00008,2025-06-04,CUST0129,Customer 136,Maharashtra,Nashik,Furniture,Chairs,Chairs Model 1,2500,7,0.05,16625.0,1378.51
ORD00009,2024-01-28,CUST0135,Customer 201,Uttar Pradesh,Kanpur,Technology,Printers,Printers Model 3,16000,1,0.15,13600.0,1397.94
ORD00010,2025-12-26,CUST0035,Customer 227,Rajasthan,Jodhpur,Technology,Accessories,Accessories Model 3,1000,5,0.15,4250.0,477.81
ORD00011,2025-07-07,CUST0179,Customer 63,Uttar Pradesh,Kanpur,Office Supplies,Binders,Binders Model 3,550,6,0.1,2970.0,295.53
ORD00012,2025-10-16,CUST0171,Customer 29,Karnataka,Bengaluru,Technology,Printers,Printers Model 4,11000,5,0.05,52250.0,9041.74
ORD00013,2024-01-28,CUST0108,Customer 44,Maharashtra,Nashik,Furniture,Bookcases,Bookcases Model 2,14000,2,0.15,23800.0,1243.36
